timestamp,elapsed_min,n_eval,id,cost,vel_scene_wheel_f10_flat,lateral_scene_wheel_f10_flat,tumble_scene_wheel_f10_flat,yaw_scene_wheel_f10_flat,best_trial_scene_wheel_f10_flat,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-25T01:37:35,0.1,16,86ff3c86,0.949377,0.1036,0.002278,0.189699,1.9,1,0.12965132592047887,0.00440954256696339,3.740144925115205e-05,0.002398898570165392,2.2272637173664775,0.37720692028058617,0.8208786071876428,0.0006189053073219674,0.8154921054281207,4.241049748218919,0.9564686727587399,0.9428313646647972,7.648844970030432e-09,29.022599132846324,7.233175651755312e-05,0.0030135680907889886,0.8883623482660425
2026-02-25T01:37:38,0.1,32,12e6f05a,0.666784,0.1276,0.001320,0.202361,0.5,2,0.568753326045862,0.007635259991142249,4.224951983047106e-05,0.004023251643351954,9.666092891643302,0.5916416255191292,0.017800060390848797,0.0001733384262776138,0.43060887591180563,4.907275732934458,0.9501604666030891,1.3239906308114293,2.450145157776604e-09,29.742039475511067,3.907429200331778e-05,0.0032999656294922714,0.5989086492399585
2026-02-25T01:37:48,0.3,64,b8253ed3,0.584080,0.1369,0.004015,0.185618,1.4,0,0.3243251763749603,0.007905037366843448,2.2245008074880006e-05,0.0034015008407665484,8.534056991692204,0.7299221646897739,0.2650602110937807,0.004173218242793253,0.630163763274163,5.183076092850676,0.9646553746653626,1.2504166471719027,6.265445512467845e-09,29.76905468860672,4.324622418427198e-06,0.002758230649501061,0.8014825467077444
2026-02-25T01:38:17,0.8,160,6d008c8f,0.572251,0.1302,0.001151,0.176824,0.7,2,0.160612043226185,0.03057407053038189,1.2112881631039082e-05,0.016552850059956638,4.735314806912518,0.6375561052174125,0.02162750878196475,0.002346251183871872,0.24057298678798705,3.846043726762269,1.1016199317692155,1.1510992724814078,3.763635529997283e-09,29.526869897416194,4.0114490586906564e-05,0.004120912437256961,0.6453927009839142
2026-02-25T01:38:39,1.1,224,ad7fbf1a,0.552323,0.1488,0.003849,0.174172,0.1,2,0.12619898914185596,0.03695097341153506,8.349638080789517e-06,0.010707120417969073,4.2477018681248015,0.34163675316596054,0.6187012261867801,0.0015200550769057506,0.20993509140792568,3.7073350128441587,1.4356532667753048,0.9273865754717393,2.032725563415849e-09,29.598799165765016,9.532679996001124e-05,0.004971563671674106,0.7489050311358718
2026-02-25T01:39:30,2.0,368,ab571f9b,0.542142,0.1438,0.003242,0.175134,29.3,2,0.06289606144835554,0.03653065476469285,1.5114162076863294e-05,0.010006703192642408,9.536348833383165,0.7407849814917651,0.4418497773146884,0.0051143502502624056,0.19395285814358168,3.705239603499899,1.0549963636883017,1.1814814784090188,5.7043021559379554e-09,29.68844304543281,1.2810433305728894e-05,0.004502631062326972,0.85527489471852
2026-02-25T01:39:36,2.1,384,ae3861b0,0.535066,0.1376,0.001135,0.174614,0.1,2,0.0786032090635814,0.0886321339203484,7.133591872536089e-06,0.01046774254374237,7.224626345421813,0.7169985283083792,0.3844441636250647,0.007937270425946484,0.1679158250101073,3.8609026046772095,1.149406296158229,1.0530603360946478,5.740460775655633e-09,29.727933280993508,1.7394680928778362e-05,0.004610551222926934,0.8257583479811643
2026-02-25T01:39:52,2.4,432,1255f5d6,0.531783,0.1482,0.000099,0.174269,1.2,1,0.10653554837999835,0.0596419515568778,6.509251588392489e-06,0.009828890212794891,6.65039017723825,0.7075781216499469,0.6529186166640975,0.004027991063821782,0.0673829608091932,3.582561904546491,1.1692814490474324,1.111031733075449,5.698902175467122e-09,29.73346604551132,3.5222462690722605e-05,0.004811070466269487,0.8984405180829141
2026-02-25T01:40:26,2.9,528,7ce088a8,0.527268,0.1467,0.000864,0.172693,1.6,0,0.0833722568464391,0.12419123988914761,6.135232512968175e-06,0.0092896143501981,9.709691650697009,0.6200726045023232,0.734054170283523,0.007570140785037805,0.13667286513491586,3.91981309706473,1.0729007348989272,1.193523604484589,4.839588906472643e-09,29.545869914112334,2.944866574485898e-05,0.004790889201551802,0.8988864881553219
2026-02-25T01:40:32,3.0,544,a5343b7b,0.526027,0.1400,0.000710,0.173725,1.3,2,0.07720754370008681,0.15538409419627164,6.097778835501543e-06,0.009105100294415063,8.197447161024197,0.6743322238813569,0.6823254978999399,0.0062017238722093995,0.4231794759069206,4.176437484812218,1.1082739708840654,1.1480450692156772,4.151902703813525e-09,29.637622697825666,3.276319081569895e-05,0.004745424068784351,0.8964754188216862
