timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,best_trial_scene1_f10,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f30,best_trial_scene2_f50,best_trial_scene4_f10,best_trial_scene4_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-27T15:00:33,0.8,16,72436012,14.163137,0.0241,0.0504,0.0407,0.0390,0.0370,0.0158,0.0187,0.001910,0.012429,0.004293,0.003560,0.002755,0.003711,0.008252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.0,26.9,4.2,0.2,13.1,0.2,3.9,0,2,0,1,0,0,2,0.44392931399541935,0.00016290215712200796,1.3673043788819155e-06,0.0014105909349583423,8.037995190962318,0.023175449949216213,0.5231372096045935,3.59288724533923e-05,0.9835118224869126,5.2938460140752825,0.7499800057863468,0.984967502274831,6.440516235544308e-10,0.012380020635217962,1.0026894551318673e-06,0.00040264900898343334,0.5341364056150854
2026-02-27T15:01:14,1.4,32,99947980,14.131282,0.0174,0.0255,0.0750,0.0382,0.0175,0.0635,0.0261,0.008271,0.008777,0.004795,0.003465,0.005082,0.003347,0.005733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.1,16.8,0.7,39.6,3.4,1.5,54.0,2,2,0,1,0,0,1,0.44701911553694196,0.00014037860914552181,1.9054579273365903e-06,0.007839336231711918,3.9348891335080216,0.15376140279669592,0.11707602465971301,3.2620157315247244e-05,0.83805276471276,4.89906985030168,1.002496735041987,1.0950897814892282,7.781783163319696e-10,0.41702388068594975,1.0000476249025961e-06,0.0005041333946225698,0.2528239460684049
2026-02-27T15:01:54,2.1,48,033ae3ca,11.085486,0.0097,0.0119,0.0707,0.0347,0.0794,0.0957,0.1054,0.004699,0.006853,0.005071,0.008518,0.027972,0.006325,0.005332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.0,8.5,1.3,134.1,15.1,2.8,13.6,0,1,0,1,2,2,2,0.5842065012309527,0.00019200581971590686,4.769818236245772e-06,0.0036149030399496066,1.227490734946761,0.08296703407315309,0.24226037594384187,4.922824680340791e-05,0.3754035390379701,4.676641043009599,0.7317436027650583,1.4086598879867152,3.329708030086439e-10,0.0613408276589085,1.735727999991422e-06,7.083329969801364e-09,0.305103559113893
2026-02-27T15:02:40,2.9,64,5ebb3852,9.686441,0.0363,0.1196,0.0915,0.1690,0.0383,0.0333,0.0389,0.000402,0.007772,0.000264,0.010152,0.001569,0.000564,0.004177,0.000000,0.068633,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,14.5,6.3,11.9,22.5,0.2,4.1,2,2,1,2,0,1,0,0.7385003333827199,0.00037900616865649983,8.793714692489779e-06,0.001820070755207896,3.0505753301484777,0.14508300429984877,0.5137051460772621,1.885189621474769e-05,0.37183854303490427,4.806969255068573,1.102638203559118,0.956981280216721,1.218658609584395e-09,0.36187929328125235,1.0072142437550189e-06,2.2134430123386786e-05,0.5842068939453213
