timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f20,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f20,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f20,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f20,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-28T01:35:46,1.9,16,c5ae96bd,2.048684,0.0582,0.0948,0.0982,0.1345,0.0883,0.1268,0.1437,0.2769,0.1028,0.1970,0.2836,0.4652,0.1627,0.3242,0.4810,0.000233,0.001423,0.003797,0.003957,0.001209,0.001602,0.002061,0.013170,0.002454,0.001334,0.003996,0.010860,0.001461,0.001289,0.004273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,0.3,1.8,3.6,1.0,2.3,2.2,2.2,1.4,0.6,2.0,0.5,1.5,1.1,1.3,0.4178143504873557,0.00013395893982613835,4.505485799697867e-06,0.0013949207412199073,6.0384783767188015,0.28584452417677153,0.9366168023375898,6.919035168389389e-05,0.5854608539199259,5.001521314888016,0.5697683064800986,1.1605899819857064,3.7388335789650946e-10,0.23232708939868563,1.1006669305877174e-06,0.0002711917012486678,0.95464088063397
2026-02-28T01:37:32,3.6,32,3fb010c1,0.588100,0.0548,0.1052,0.1167,0.1361,0.0906,0.1157,0.1657,0.2552,0.1038,0.1634,0.2847,0.3851,0.1440,0.2813,0.4626,0.000148,0.003402,0.002216,0.007294,0.000405,0.002394,0.001501,0.009966,0.001028,0.003564,0.016645,0.014968,0.001723,0.003191,0.006949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.2,3.8,1.1,16.9,1.7,1.7,1.3,22.0,2.5,3.5,8.6,2.3,1.0,1.1,2.9,0.4169105840570273,0.00012916814528164783,3.489825633359057e-06,0.0011415752477580714,3.641148918899808,0.5129073598471556,0.7345693177016297,2.5274602568896705e-05,0.48740298840730656,5.236700963385762,0.8246149228132867,1.141268303363755,3.9902136995653516e-10,0.2024458233671572,1.1474138367770257e-06,7.883261120090657e-05,0.8706372112499459
2026-02-28T02:01:34,27.7,256,18df018a,0.553626,0.0541,0.1099,0.1120,0.1435,0.0861,0.1147,0.1684,0.2414,0.1015,0.1452,0.2835,0.3553,0.1360,0.3008,0.4829,0.000630,0.001175,0.002103,0.004062,0.001308,0.003125,0.005916,0.003394,0.000895,0.002754,0.009864,0.017643,0.001763,0.004383,0.008004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.8,1.7,2.4,1.1,2.9,2.7,1.0,8.1,2.1,4.8,8.2,7.3,0.8,0.8,1.5,0.3978332837301711,0.00021207793894034154,8.566171097877557e-06,0.0010129010426993613,3.028875494200798,0.6789627784428435,0.8034256097157015,3.289262581230076e-05,0.7867205596896674,4.7701212961795525,0.8997543309392485,1.0563626521282512,4.305262813987485e-10,0.040706444776676905,1.0962656299225977e-06,6.053228354796953e-05,0.9368119613528652
2026-02-28T02:26:41,52.8,496,04da16cd,0.415510,0.0523,0.1094,0.1233,0.1481,0.0813,0.1168,0.1673,0.2535,0.1056,0.1550,0.2622,0.3635,0.1483,0.3134,0.4818,0.000550,0.003405,0.005374,0.019436,0.001331,0.000592,0.002033,0.007529,0.003558,0.006210,0.010445,0.024535,0.002316,0.004357,0.006381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.5,1.3,5.7,5.5,4.7,1.9,2.8,21.9,0.3,3.9,2.4,7.6,0.6,0.8,1.6,0.33232637045333874,0.00017227322130061376,7.406770745747969e-06,0.0009018439601050382,3.417893019706866,0.45176618728436413,0.8461887245664059,1.926574667872457e-05,0.6684731410139784,5.032604997566585,0.8574444862090351,1.1217556113569989,3.3649524230551643e-10,0.09752582209256677,1.2545848387855069e-06,0.0005455680775270291,0.9155908391579293
2026-02-28T02:44:28,70.6,672,dfe95e58,0.381906,0.0500,0.1095,0.1169,0.1455,0.0825,0.1182,0.1761,0.2511,0.1055,0.1554,0.2837,0.3660,0.1378,0.3177,0.4742,0.000457,0.002664,0.003347,0.026791,0.001679,0.002610,0.005905,0.015908,0.001673,0.004310,0.018470,0.019906,0.002081,0.005278,0.006826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.2,0.5,2.7,8.1,2.6,1.7,1.9,5.2,1.2,3.4,11.3,6.2,1.0,1.0,3.1,0.346528434462963,0.0001947775684488762,8.51874279163917e-06,0.000803032083052576,3.5073641267159994,0.44837991228500507,0.9658671421877337,3.209427099653205e-05,0.661645103008236,5.12771550577386,0.8785966858209865,1.0386716923349577,3.9240187123662443e-10,0.0018014138846486295,1.1193310841509458e-06,0.00032240133682313177,0.9810750432654155
2026-02-28T03:07:14,93.3,896,318a749c,0.306047,0.0561,0.1171,0.1219,0.1359,0.0866,0.1174,0.1784,0.2666,0.1105,0.1655,0.2670,0.3661,0.1464,0.3109,0.4843,0.001176,0.002878,0.002340,0.025366,0.000420,0.004576,0.001058,0.016835,0.004620,0.003647,0.010347,0.031145,0.002732,0.005121,0.007816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.6,1.0,5.0,6.7,1.3,1.9,3.2,3.8,2.1,1.4,3.4,13.0,0.2,1.6,0.2,0.37061132434269045,0.0001607792588802155,7.929798767569488e-06,0.0008998130912152242,4.090481820942999,0.3877674057645995,0.8636045992448592,3.536355367501472e-05,0.6470706868178301,5.275843885074051,0.8622895526080916,1.083527029034727,3.679057284594519e-10,0.04864298781287495,1.055374862083265e-06,0.0004621516144346054,0.9164079294939786
2026-02-28T04:02:29,148.6,1440,2204fa35,0.288230,0.0522,0.1087,0.1187,0.1343,0.0827,0.1170,0.1673,0.2710,0.1053,0.1745,0.2751,0.3210,0.1419,0.3113,0.4704,0.001174,0.006347,0.014603,0.005090,0.001098,0.000924,0.002029,0.011619,0.000325,0.004153,0.010193,0.013933,0.002693,0.003212,0.010823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.2,2.5,2.7,21.2,1.9,1.9,3.5,5.9,0.9,0.9,6.1,6.1,1.3,0.3,3.2,0.3458444852159224,0.0001821218759829238,4.532274905042915e-06,0.001200733760814582,5.207845559696021,0.2865871612525642,0.984841797842595,3.747298123056254e-05,0.6111075129181696,5.163587890550784,0.8447174770555458,1.0456561872710344,3.5595889775722275e-10,0.1407207835296432,1.0063461491839658e-06,0.0002914520252374149,0.9890874597887939
2026-02-28T04:15:35,161.7,1568,62a6d503,0.286263,0.0537,0.1170,0.1291,0.1483,0.0842,0.1202,0.1842,0.2865,0.1064,0.1841,0.2843,0.3751,0.1418,0.3129,0.4554,0.001061,0.007118,0.014924,0.006478,0.002859,0.000864,0.000569,0.005766,0.000829,0.003800,0.010082,0.013400,0.001497,0.004192,0.005903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.9,0.4,5.0,5.4,1.8,1.1,0.8,2.3,2.9,1.9,17.2,8.0,1.3,0.6,5.1,0.369056088651391,0.00016034348680166543,5.185189992534591e-06,0.0012923818607197485,5.562245300078689,0.28289812394161845,0.9856355277384,3.4078268902924655e-05,0.6111220127304299,5.016408871650427,0.8715125823561122,1.0527365059325753,3.439639732824806e-10,0.12949133929821716,1.0332871891755903e-06,0.00034628998999142115,0.9896006464398444
2026-02-28T04:22:08,168.2,1632,cf049fff,0.267665,0.0529,0.1158,0.1179,0.1317,0.0806,0.1162,0.1836,0.2537,0.1026,0.1804,0.2684,0.3626,0.1379,0.3254,0.4648,0.000994,0.002077,0.007734,0.013895,0.000731,0.001267,0.001873,0.014143,0.002036,0.003134,0.016070,0.008343,0.001597,0.003776,0.009534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.1,3.0,3.3,15.4,1.3,1.4,5.1,5.2,1.4,4.2,13.0,9.9,0.3,0.7,2.9,0.3625308383671003,0.00015580735906420742,4.813191905955108e-06,0.0013174488407053497,5.411162676729858,0.256821322564494,0.9713913788690632,4.200391443071554e-05,0.6077254824289607,5.079833270922922,0.8763548322521654,1.0438513871252713,3.489249765168348e-10,0.11477739786545926,1.003124625867477e-06,0.00026299238052858437,0.9786415436467701
2026-02-28T04:25:25,171.5,1664,fe2093b1,0.217699,0.0550,0.1188,0.1210,0.1402,0.0843,0.1206,0.1754,0.2540,0.1059,0.1641,0.2834,0.3386,0.1380,0.3179,0.4616,0.001478,0.001365,0.011229,0.005378,0.001813,0.002314,0.004101,0.009940,0.002992,0.003120,0.000823,0.023156,0.001684,0.004947,0.003347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.0,1.8,2.1,18.5,7.1,4.0,2.7,5.4,3.1,6.1,4.2,13.5,0.1,0.8,0.7,0.3652754947270896,0.00014768494892906806,5.693432889302259e-06,0.0011190710044548344,5.123225261254794,0.26118904694961703,0.9483832099080334,3.1916525968759985e-05,0.5868148572704808,5.065256708847477,0.8866983345285356,1.0619800146304506,3.450383751210394e-10,0.09604618650759575,1.0095097323950614e-06,0.00023387947906421643,0.9617701117977617
