timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping
2026-02-15T17:59:59,0.6,8,d835f8d8,1.691067,0.0695,0.1159,0.1053,0.1095,0.1444,0.1970,0.1087,0.2658,0.4475,0.1631,0.4688,0.000442,0.001642,0.003455,0.002725,0.001117,0.013450,0.002351,0.020904,0.006677,0.003405,0.005627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,1.6,7.0,2.1,3.1,2.6,2.4,1.4,9.8,1.1,0.9,2.04,7.51,5.51,2.53,1.25,4.12,0.40,1.20,2.38,0.02,0.13,0.0045468988,0.0018914665,0.0012388105,0.0011317393,1.2679325,0.82614894,0.95572451,0.0076606251,0.77201109,4.5728503,0.50153253,1.0489415,8.5720137e-10
2026-02-15T18:00:35,1.2,16,f8559c78,1.659920,0.0399,0.1014,0.1103,0.1228,0.1527,0.2126,0.1305,0.2581,0.3477,0.1601,0.4683,0.000405,0.005808,0.011434,0.000745,0.003850,0.035220,0.002102,0.035485,0.030880,0.001510,0.019322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.3,9.5,3.1,0.7,4.2,14.5,0.5,3.0,5.3,1.2,1.5,3.27,6.67,6.64,1.72,3.55,5.69,0.62,1.79,2.78,0.02,0.11,0.0047852495,0.0015713327,0.0012690676,0.0010099224,1.2454005,0.83826844,0.95250715,0.0042189624,0.79013172,4.5424185,0.69797791,0.96039404,4.3043208e-10
2026-02-15T18:01:11,1.8,24,dc1ab816,1.593659,0.0371,0.1126,0.1142,0.1209,0.1682,0.2527,0.1315,0.2832,0.4183,0.1598,0.4690,0.001044,0.004050,0.009278,0.001314,0.006176,0.015883,0.000483,0.003670,0.015254,0.001435,0.001270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.4,4.4,12.8,1.0,2.8,7.0,0.4,6.1,18.7,0.5,1.3,3.75,7.35,7.43,1.90,3.60,5.79,0.87,2.04,2.82,0.02,0.10,0.0044516553,0.0014831579,0.0011847338,0.0012454134,1.2688003,0.83721707,0.95238523,0.0050168475,0.89977965,4.6230462,0.69197059,1.0538585,5.7458366e-10
2026-02-15T18:02:24,3.0,40,d71d3de0,1.278491,0.0512,0.1182,0.1211,0.1212,0.1626,0.2643,0.1280,0.2947,0.4275,0.1601,0.4731,0.000517,0.004229,0.004285,0.000950,0.004739,0.015350,0.001884,0.016088,0.028446,0.005408,0.002799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.1,0.7,6.8,1.2,3.3,3.2,1.5,5.6,3.8,0.4,0.4,2.92,7.47,8.72,1.67,4.28,5.33,0.92,1.94,3.19,0.03,0.12,0.0062208311,0.0010623847,0.0015109789,0.0011344134,1.4545886,0.82394984,0.95000511,0.0040093288,0.60773784,4.6024305,0.66546035,1.0672889,5.7652556e-10
2026-02-15T18:04:13,4.8,64,1fb20322,0.977530,0.0596,0.1069,0.1120,0.1102,0.1393,0.2088,0.1073,0.2677,0.3799,0.1634,0.4648,0.001648,0.005722,0.036018,0.002510,0.003636,0.007698,0.003363,0.016870,0.006094,0.005555,0.009669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.4,4.3,10.0,3.9,2.3,10.3,2.5,5.0,9.4,1.4,0.7,2.11,5.68,5.35,2.37,1.73,4.69,0.72,1.25,2.66,0.02,0.13,0.0041760361,0.0015228069,0.0016893701,0.0010007271,1.4113936,0.81723306,0.95812383,0.0045959308,0.53074366,4.8383364,0.51271952,1.0567808,3.7916403e-10
2026-02-15T18:15:09,15.8,208,266fd036,0.919226,0.0543,0.1042,0.0986,0.1017,0.1395,0.2269,0.1002,0.2424,0.4181,0.1631,0.4695,0.002386,0.003577,0.041013,0.001399,0.003262,0.037018,0.004715,0.031373,0.066328,0.006007,0.004624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.0,4.8,5.4,2.0,1.2,4.9,1.1,4.9,11.8,0.8,0.7,2.00,4.99,5.13,1.90,1.92,4.47,0.44,1.81,2.41,0.02,0.11,0.0053708366,0.0025357723,0.0012335146,0.0016406494,1.2915113,0.96625585,0.9511009,0.0057845524,0.52692425,4.841241,0.51140275,0.9964389,4.2608683e-10
2026-02-15T18:15:46,16.4,216,dccf1d0f,0.860998,0.0542,0.1096,0.1068,0.1057,0.1394,0.2349,0.0994,0.2548,0.4206,0.1639,0.4662,0.003143,0.001166,0.009801,0.000925,0.001379,0.031325,0.003371,0.006569,0.052871,0.007592,0.004860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.0,4.1,17.2,3.9,2.5,7.9,2.4,4.5,13.5,1.2,1.0,2.51,4.68,5.85,2.55,1.83,5.39,0.57,1.54,2.75,0.02,0.12,0.0057194062,0.0024849491,0.0012247402,0.0016149915,1.3211003,0.93108928,0.95036449,0.0049151016,0.35360555,4.8863885,0.50015305,1.0884294,4.4127285e-10
2026-02-15T18:16:23,17.0,224,26258f8c,0.690385,0.0485,0.1091,0.1036,0.1023,0.1516,0.2371,0.0973,0.2612,0.3994,0.1642,0.4681,0.000953,0.002145,0.015462,0.000258,0.002888,0.045342,0.003732,0.008857,0.026648,0.003558,0.008167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0,3.2,31.0,2.2,4.2,5.8,1.9,2.1,5.5,0.5,1.4,2.66,5.34,5.47,2.26,2.17,4.98,0.56,1.77,2.43,0.02,0.11,0.0050249025,0.0026566535,0.0012000839,0.0017600166,1.4121551,0.95167293,0.95158334,0.0058072185,0.31003783,4.8963382,0.5149148,1.020815,3.9702886e-10
2026-02-15T18:40:00,40.6,528,0be713be,0.651303,0.0525,0.1178,0.1265,0.1036,0.1728,0.2902,0.0941,0.2847,0.4343,0.1626,0.4821,0.001332,0.007806,0.051775,0.003751,0.003303,0.044518,0.015704,0.012799,0.014403,0.003609,0.012971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.9,4.6,21.8,0.4,2.1,11.2,4.8,6.1,27.5,1.1,0.8,2.56,5.73,5.50,2.58,2.39,6.10,0.72,1.43,2.58,0.03,0.12,0.0065251135,0.0016251502,0.00043408094,0.001795917,1.6431058,0.81069672,0.95068361,0.0028042844,0.24215265,4.9280917,0.50003734,1.167565,4.5193488e-10
