id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f20,velocity_scene1_f30,velocity_scene1_f50,velocity_scene2_f10,velocity_scene2_f20,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f20,velocity_scene4_f30,velocity_scene4_f50,velocity_scene_wheel_f10,velocity_scene_wheel_f20,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f20,cost_scene1_f30,cost_scene1_f50,cost_scene2_f10,cost_scene2_f20,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f20,cost_scene4_f30,cost_scene4_f50,cost_scene_wheel_f10,cost_scene_wheel_f20,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
5518fd7a,68.96071693509263,2.2,0.036910290457899085,0.0034364607015594066,0.01647047176374428,-0.00012885596433263573,13.082203110368628,22.983835592250866,17.501456376206715,15.306040707015681,0.011440595350022587,0.0252251116559689,0.05265437881675713,0.058321076008847735,-0.02103630269921317,-0.015821812256907253,0.053123375119259804,-0.0025194173569017533,0.05368688759517081,0.006388978429890115,0.0034185535935732005,0.0023874674363429933,-0.0005780109765309184,0.0016302394467884174,-0.001438796363255406,3.017187573703077,5.0233360281585036,3.1217355213929694,1.9199439871140793,7.848145544041834,6.496775011301655,3.5427699731666937,5.096145063740681,3.038795253553525,4.658985477520906,4.876330051546759,4.9273455935855255,5.058832173617768,4.9561701303554395,5.291038403042473,0.008397151444638512,0.002327047312507034,0.002938617500578639,0.008931716230911668,0.0037385893086162142,0.0022516313063478672,0.0008459412092393576,0.000497244438516199,0.005132316417024646,0.00032283783842236623,0.0007072705284539894,0.0006495643467050882,0.004004397499923083,0.03466484238209051,0.008851132381778386,0.0016787283787675058,0.0601979237441666,0.07180947815272383,0.07908033520442696,0.0,0.0,0.0662409095417178,0.05117612495886057,0.09906346540352412,0.0,0.0,0.0,0.03035135115992728,0.053650775374127,0.09168572490589189,1.8285618944749298,178.70387043322353,177.21477323991044,1.9229311431324783,1.2335600316853987,0.9732314105810786,1.829995814241292,108.53871291472568,160.83553046925488,8.89006286015524,2.4905298272703202,1.785827191312122,73.41818899306388,39.50030917829958,85.08429598262182,0.01176375572725996,0.005432326542538478,3.011486547979945e-06,0.0037728842054036192,2.4867862186253467,0.4908369567187846,0.10992052932513735,0.00016129468147122272,0.48480943809223176,4.647126778106082,0.5001055339059599,1.3242035837925887,5.372194690086089e-10,29.322224226856065,4.205373401219449e-05,0.003688862115971342,0.5467934358961211
3ca5c587,64.83331984170114,2.2,-0.0019433916062464027,0.029636065900875544,0.0192626245122504,0.04141760998437446,21.050047196643668,15.493173397470475,17.445111263398413,10.80640758140053,-0.0011444830986573457,-3.702608719977541e-05,-0.003829848462511846,-0.0027622087766166438,-0.009015113704767739,0.01634206408638737,0.03944426516421487,0.07177304805766768,0.02611972259903154,-0.01304141233588805,-0.0335095827887088,0.09748177057456692,0.02918155457107129,0.03964609619196121,0.05542517919009087,5.226033829197961,5.0036296307412,5.3280118581748335,5.4923718785296725,6.142257482153726,3.659490804246254,3.0450650678004227,2.6463600432700725,2.9414867711806414,5.733482646598138,6.303970088884482,2.4661717567351533,3.170257431944003,3.789477834836687,3.8466723146198394,0.0008543391414596844,0.011259007910168454,0.005609261258179527,0.02065468895079649,0.001133322932554145,0.002123324053697634,0.004952640892415328,0.014078670995897484,0.0038402396665401417,0.0009585003429110599,0.04405905179603937,0.005850610973197987,0.009384742775916532,0.019531269721444568,0.03104001910742978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.26175173320829,46.80560670512569,39.43710605425605,104.63047298091706,0.311743406428754,7.409123774951354,2.568339768325675,32.998424836016184,1.4245601521487123,3.000276585390505,33.76732736326917,11.470653762019131,11.80524801233075,18.97995983471749,25.132627510983735,0.3989299599124329,0.0028754305959368637,3.107742575856264e-05,0.0019970664111687566,2.219484260993437,0.4947205654391822,0.23583543454729194,1.4557173592413084e-05,0.5656814749429299,3.5472855812433237,1.303576533384627,0.5117323869110422,2.0212494857985175e-09,29.936924734919067,9.87970217109578e-06,0.001485949921619722,0.6138597769131879
59ed8717,54.256779635010595,2.2,0.035615519702907,0.03161541089334158,0.05573523198761099,0.05239936991979693,14.425353102384252,14.555505909906863,13.883595509182708,11.37154107856798,0.010661354952644753,0.047765488911181035,0.05156996381055102,0.03246527113725121,0.021206859973422636,0.028747290138998752,0.03037079375353389,0.046136699707411036,0.029500451023113872,0.08162032427201484,0.05458284556061971,0.05723730709469554,0.013902967016560009,0.030579296985378035,0.11271584575745273,4.640778686525617,3.7226915910542635,2.99862669150385,3.063256133300522,3.4424692616950083,3.083116381465446,3.623906153654482,4.406014113091927,2.8455097737759005,1.5924788515846358,4.754532532785032,4.69107435103714,4.076252581486262,4.276542858789262,3.018745638292455,0.00269799232195353,0.0035698223296223423,0.010009529084516553,0.0031600653879625103,0.006296649483763951,0.002509883058917696,0.005611844194766577,0.0025187869868138948,0.012864777603394112,0.01969960094621247,0.010659713126631607,0.0230003176253225,0.0001010647371971814,0.00024096526269455631,0.01792298003533662,0.0,0.08414724108770903,0.10136881783205134,0.012650821085845306,0.13566328095139435,0.0,0.0,0.031988801487492315,0.1295656029177248,0.0490216289309864,0.03073750595356715,0.06152618604065472,0.0,0.0929584469719444,0.0592923066804584,168.63398141624722,170.29790522154056,162.51938615670988,21.750409362842397,146.09506659759293,16.07978736897052,16.660922365049068,169.1788983225852,13.687222436689158,49.80181815175724,171.33140543778944,177.67125986331254,6.8906280654524865,2.401990374850063,14.973378419293143,0.024441931822848015,0.006436048279481231,2.3659566845784983e-05,0.007041248473218816,1.680535791347125,0.4745999619335129,0.39265032967921176,5.351274656248518e-05,0.5201488655273128,4.738440415671024,0.9510924208350054,1.0904372864258833,4.5852150348333655e-10,30.62835385251066,5.752306868910793e-06,0.002563014383677154,0.6808591950608216
b7a04b10,47.45780069346008,2.2,0.14626934175821593,0.14913618496163913,0.17850089637839062,0.3409475731198179,7.665294346787801,4.599039245560111,12.11081290220414,22.297748883761937,0.04959777675020583,0.1344009619344299,0.1907324124800037,0.21034621586822427,0.0582304121742884,0.0853391109176119,0.16910456364627782,0.2838706531083784,0.04266547978480506,0.07647550287978899,0.11544569652987985,0.4794169063190886,0.26900338328276463,0.7541063347363572,-0.00026699865966822386,0.005019719158531528,1.7500246770310057,3.6412621418648268,2.2689878087334376,2.240711835047561,2.0845943805595497,0.07391950900026382,0.19981352095273658,2.4642574842306546,3.564592685427524,3.4094374089494623,2.672525323596499,5.637252606725231,11.654548480961688,5.0059477960750165,0.004966439186300046,0.004460401430088763,0.0020094458340572286,0.017081806049010544,0.0029626335855578913,0.008874512117445443,0.010076243122048209,0.014123591782867168,0.003987186621005618,0.0028909351817873155,0.002184443685116951,0.12026279727338325,0.005047495767161665,0.05308828672133778,0.0008346101477283187,0.0,0.004862604514218974,0.09208850404255689,0.06159791367988782,0.18325819548567385,0.1566361871705632,0.06825217707554113,0.09346844252464896,0.071282714164829,0.0814731142949446,0.0919316812718338,0.05733709781510619,0.054390157824356314,0.055356974703577734,0.0,11.122149670523973,178.34454389716217,178.5366169905234,164.35391017614253,173.6283159732866,176.15938331808204,7.895987939900814,9.778437002026035,174.50636682866664,173.91885774684508,175.11427605246644,5.956647377310507,177.66047243910268,142.53535800318298,17.356666465466294,0.2831963151345367,0.006649411271590921,6.302451826025337e-05,0.005513930963246465,2.563441712340729,0.6998387383011304,0.5236539522693897,0.00014023520944824616,0.4023496386748282,4.455626774345244,0.6273389957427091,1.4976855069698178,1.1866723166684713e-09,29.331703337326307,3.262275630286203e-06,0.0019313266458459578,0.8569670039126831
2f3c326b,287.05484655929814,2.2,0.41907418103795957,-0.014355465468299808,0.02012635800179016,0.2438429609022923,226.19938260168044,25.33404247593858,15.343960544578865,12.97562381232944,0.008184223695609564,0.16154372062648034,0.7131995472297351,0.7933692326000134,0.04651658444324799,-0.011221159857385882,-0.0480660046468853,-0.044651281812176036,0.0705285446828541,0.015031741166268762,-0.01160850964454335,0.006553655802581113,0.10069137744162569,0.6041111895706452,0.026726315694605946,3.529276012091667,2.208820070276772,125.8021338777055,94.65915264160652,1.8845044672970854,6.665347643114853,9.942886200228717,6.841304165297928,0.7200539097012516,4.223078670031106,5.431518207534009,4.969309757312498,2.237741446746841,6.313594859734175,4.424287505848424,0.0003590348804318407,0.0013635996240544588,0.2531075186554986,0.17276721234412135,0.002712957643527125,0.05314338338327809,0.004971050917982556,0.009372399754083641,0.022332007186801745,0.035337992664745486,0.001404349610719133,0.01188315278818993,0.01499425254059689,0.012516201215916112,0.007744951073506559,0.0,0.08103551489101508,0.06042297840955881,0.0433939604506749,0.03951141783424797,0.17381777985909355,0.18351646356414,0.0,0.029693211895008922,0.0,0.0,0.0,0.0656275808808395,0.04496079443718296,0.0,0.47623115015999834,178.3398587387718,42.23553029394071,12.498493589833117,2.540000987011769,91.05467262399308,178.1860402567005,6.362552963849353,2.9201861481562656,2.73777473300923,1.594986644731946,49.141889072829905,177.30601774309307,169.73586534748338,7.000465392424339,0.12965132592047887,0.00440954256696339,3.740144925115205e-05,0.002398898570165392,2.2272637173664775,0.37720692028058617,0.8208786071876428,0.0006189053073219674,0.8154921054281207,4.241049748218919,0.9564686727587399,0.9428313646647972,7.648844970030432e-09,29.022599132846324,7.233175651755312e-05,0.0030135680907889886,0.8883623482660425
b7ecfa37,5.39208513365118,2.2,0.0898013490477027,0.1302749017716048,0.2334881717954432,0.30321418317726706,0.7429767765054633,0.728865156995892,0.14092179490533308,3.7144674594096125,0.04684246364075433,0.09515625138761262,0.10901097419523542,0.10819570696720845,0.06672836957959292,0.11320197065890401,0.13959394674692263,0.20157532010099966,0.09911845041215839,0.19798705178396142,0.282054448322122,0.35479273666353095,0.11018567595349268,0.4368685919879273,0.36258828159038115,0.03621762479705922,0.30616326224271645,0.0348552879803901,0.3657406014852976,0.19630814073088584,0.009297678581393581,0.24815510267293142,0.2751042350106812,0.06705244061983433,0.028493435926883734,0.01018027529795325,0.03519564306066177,0.39604645294097207,1.3388911028237616,1.979529903644879,0.0005575414609419561,0.0036315484143873145,0.007261016545306476,0.006423885381145795,0.002106683649168733,0.010054596203082569,0.0036163362291785402,0.00804600622362787,0.0010877542449549992,0.004248719493813306,0.008002707010995482,0.007705830218625774,0.0027260011918215457,0.011110642608044662,0.09913304094906224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04452404408133503,0.0688571538595323,0.0598411410004046,0.5750067411294099,1.600056635928083,7.125080954061043,9.26975878932266,3.3201043271506196,0.8902078484552406,5.389487209934051,1.1807189910649407,0.7849465948483151,4.274565106012987,3.632809673221903,4.386215696834163,59.60905973366825,82.18341994310593,153.85585366539823,0.15466705933639646,0.0017534612679889865,2.9694169337149663e-05,0.0008812276979862146,8.754964593019197,0.16866353876493567,0.30635006410050813,0.0011569282033163251,0.3652486623503528,4.379845796433312,0.8117120266312268,1.0481527569921387,3.0772450297082195e-10,30.233216005506492,6.368094893186273e-05,0.0016128483447042333,0.4233128819469772
b393bc76,57.20925298227167,2.2,0.07165938689890529,0.020895273201667244,-0.0011155704949644182,-0.0008380261978587944,5.519221833135553,16.109882758282424,20.139200481098765,15.080673727958406,0.08020822202687278,0.10135798914106925,0.06743584079182083,0.037635495635858295,-0.003975631980137973,0.021139968141801878,0.021709127757657307,0.044707628887347764,-0.0001883959280780034,0.00053939018846477,-0.0006446652664038315,-0.004168610973840608,-0.0007802886355026684,0.0012363873672406357,-0.0029701773253143506,1.6049942738975276,0.19672216179703644,0.9331900203807554,2.7843153770602336,5.489559774508116,3.3055580481544546,3.8650605546109817,3.4497043810088694,5.016821194661716,4.970746515555285,5.023495512939311,5.128137257942452,5.054643897860951,4.959700057005509,5.066329773091943,0.0009352008020947133,0.008716184941167993,0.02026652962406464,0.005005818115247328,0.0012224125944811568,0.0016403144750754095,0.0043677205972152185,0.0019483885753321557,0.0002191781129739257,0.0006863820786348633,0.0004147333415504133,0.0014744690329690187,0.0013604866641656152,0.001599804767595199,0.000948103048984141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3726582616654295,11.098557654156354,3.032183388874681,0.9722572284793505,5.980144154519739,6.471183811671289,3.872223634851926,14.98008321835501,2.333622605484327,0.5752497635949749,1.6847794461397592,14.937675143935838,25.87000215219325,26.336312883600026,21.607401357017757,0.18299498069111522,0.005751810342450193,8.978457687923273e-06,0.016215600196930885,1.6165253331603107,0.5963078903305972,0.09174569612717409,9.309240636320319e-05,0.7492663021163812,3.804590171512374,0.626259624163648,0.5366733018343014,4.714660185296589e-10,30.014133825297836,7.855831031316124e-06,0.0031362453932536867,0.6333357293836513
e696dae9,153.68923633971542,2.2,0.3188164891169011,0.28625495902814696,0.26781801412926975,0.3146807518315336,117.00405559874676,22.911999561977343,9.957625250782332,0.51398846119558,0.010116113565007107,0.11423307632196057,0.40938319595251593,0.7415335706281209,0.03006432445035928,0.08491109209124181,0.281733913943204,0.7483105056277827,0.08284915044344976,0.15205364552147013,0.13428431948814923,0.70208494106401,0.1762180538942681,0.35621901362773706,0.41160518797259565,3.2193871839070423,1.852648826765467,31.697250993864255,80.23476859421,2.0393880024251354,2.054617820873704,1.7429565927416104,17.075037145936893,0.34043635008801537,0.15176977552330057,2.851375842436964,6.614043282734053,0.265819549892074,0.13593054609989802,0.11223836520360789,0.00031878942267781786,0.007735459943261792,0.02240812140448755,0.1227681878519592,0.0019612005678709393,0.022292663482502775,0.02031789061231675,0.05734848875028501,0.00027750681185422394,0.007311812367443516,0.005866116856452095,0.10757375146163808,0.0009293962060052765,0.002862287432288603,0.009993594831722333,0.0,0.08424640174896192,0.07029626211695056,0.06001314101029529,0.0,0.1622574181254324,0.06628976786785891,0.0511465829874582,0.0,0.0,0.07671959494418526,0.05581331711431025,0.0,0.0,0.07647267432462307,1.5436625027100057,179.52153349030309,171.9468983110545,125.91258210029382,0.8536760059265442,170.46062945370358,74.12857969622047,77.11226034538355,1.54661456449319,1.845394499630231,179.39016579486923,0.9389436361100295,0.7094788621156674,1.2415526217441084,1.8066824888309012,0.07609302584082255,0.012436421626900373,1.8660300587226067e-05,0.0012628285000650817,3.4495809745950683,0.5698021295377115,0.12457694962748622,0.0003815354644282756,0.17961424262493098,5.3916310089493305,0.7656936811031314,1.2609085482027935,4.9485701127802635e-09,30.10953375675179,1.873927256982795e-05,0.0015367009867594415,0.6233824102811811
9f2186ca,7.367470052465129,2.2,0.08842981594666725,0.17862661025304563,0.25872611705159454,0.2531160220334758,3.4833422501350455,1.4426044664910729,1.8320046650405346,0.4714297322765936,0.029997447596530093,0.07643743403372337,0.11568567193126829,0.13159871022514724,0.07100998238964981,0.10888916825752666,0.14529372445786884,0.38931356590713717,0.08829497305265997,0.17250289816103598,0.26355589337729435,0.5105507036153877,0.15346751241899972,0.28800469484027286,0.3178758588411547,0.8575976814921599,0.7817350943620849,0.0460562349142311,1.7979532393665694,0.10749055840641493,0.007372026887030173,0.18248100235304643,1.1452608788445813,0.22552296235265923,0.01985668594787447,0.021825323304078117,1.5647996934359227,0.025718651761027472,0.01697049069757704,0.4287405898179891,0.002657136052620172,0.0063284912796647405,0.008689262178835982,0.004643883797239309,0.0003871506244753251,0.0070601596771127945,0.0030837489559606265,0.0009003715845283407,0.0021814275849519026,0.0017768459098153203,0.003094091019590489,0.004564663050088499,0.0014620147634179506,0.002777835429033676,0.01573314994041805,0.0,0.0,0.0,0.060152275532210406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.945030180985936,3.1246891276553215,4.6629980164383795,176.45305309086535,2.4276848866617007,6.631932499483444,3.4263602495807386,0.6113670735971988,0.7208062591125336,0.9636410997984411,6.452659025701919,2.9501464141932625,0.8336905847627559,1.0304593260516635,14.372511320383497,0.1571098326605085,0.00020188267190119564,2.4405574513723664e-05,0.007850931548062979,1.4628123766543868,0.2977474756763268,0.21665366779911166,0.0002525502387241734,0.06264569025419797,5.138836542672727,0.6049223166531627,1.3627789668143058,4.2250991474217887e-10,30.365226125362426,1.7632515255867954e-05,0.0004874144283956811,0.4498713954254556
60356848,96.03635931542925,2.2,0.2614717018890137,0.21972512151357565,0.05797443494524228,0.16967490981573283,44.877567016038036,28.7967563863057,11.602702540709128,8.848793292161737,0.14421738469458673,0.3197698217758324,0.278770582919617,0.30312901816601867,0.1676372918262538,0.31384366692795895,0.25562119182194815,0.14179833547814172,0.0646506209617847,0.11125040060370003,0.0480600092530222,0.007936708962462192,0.1815252141933161,0.32045479922965364,0.00704471602422877,16.58716711792957,11.813831892517412,10.243715955284207,6.232852050306844,7.0511077006356375,16.18242718629708,2.6365838582102783,2.926637641162703,0.9241163501355522,2.5108664872853943,3.403950956665394,4.7637687466227865,2.174945086454178,1.8285771237415136,4.845271081966046,0.007205121962564151,0.06347410216640659,0.02512599041185243,0.11949950627867938,0.006755907699868561,0.07683221467102054,0.04293946988950481,0.006918751524164332,0.0019812875741610316,0.004582306444504028,0.005782235526040182,0.017453730861368883,0.005469407302159385,0.023790426657402903,0.011868164162583714,0.0840811341063288,0.06768727800875905,0.0754325663736926,0.06995464288572989,0.12079553278917544,0.047350964745167444,0.07679433016826065,0.08500777208622042,0.02827319414253179,0.09682014273855175,0.0,0.0,0.07898803541422408,0.07767777963574261,0.0,61.55319477272287,30.62078746992416,68.08860916409876,70.4136467273505,179.66481812952458,144.06836859707764,175.51164152480277,178.4960041603229,1.519719680771192,165.60221599789222,3.991962078705334,60.57066655126077,178.5879960098285,172.88264128200353,1.5447294844972717,0.12105318024858247,0.0015315987081660307,4.455194380676011e-06,0.0013831526393737212,8.29821350126983,0.03292154681039448,0.38333196161303035,0.0008357399225481027,0.7987879731983928,4.603934275624513,1.1075249712512005,0.9347179061192497,1.5303148204041857e-09,29.91706756218591,2.7393334249826968e-05,0.004103962585180802,0.40359529410909983
