scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene1,50.0,18,7.88,FALSE,31.03,0.073,156.3,1.1456,0.0731,1.0636
scene1,50.0,19,-7.28,FALSE,-1.48,0.992,15.3,0.0000,0.1286,0.1360
scene2,10.0,0,4.90,FALSE,-5.79,0.896,16.8,0.0000,0.0697,0.0987
scene2,10.0,1,-5.62,FALSE,24.20,0.084,166.9,1.4104,0.0934,1.3829
scene2,10.0,2,8.12,FALSE,27.14,1.570,146.1,0.9153,0.0764,0.8560
scene2,10.0,3,9.30,FALSE,34.48,0.609,16.1,0.0000,0.0601,-0.1124
scene2,10.0,4,-10.34,FALSE,9.90,1.169,20.2,0.0000,0.0886,0.0392
scene2,10.0,5,-9.79,FALSE,34.52,1.136,1.0,0.0000,0.0192,-0.1534
scene2,10.0,6,-1.91,FALSE,25.21,0.292,138.8,0.7659,0.1094,0.7492
scene2,10.0,7,9.96,FALSE,13.18,1.205,62.5,0.0008,0.0394,-0.0258
scene2,10.0,8,-2.76,FALSE,10.97,0.531,4.9,0.0000,0.1748,0.1199
scene2,10.0,9,-1.84,FALSE,34.73,0.324,178.7,1.7392,0.0334,1.5990
scene2,10.0,10,3.31,FALSE,60.70,2.408,20.7,0.0000,0.0799,-0.2236
scene2,10.0,11,-2.13,FALSE,28.91,0.700,1.9,0.0000,0.0386,-0.1060
scene2,10.0,12,-8.54,FALSE,23.95,0.964,136.7,0.7266,0.0004,0.6073
scene2,10.0,13,-9.53,FALSE,16.68,0.997,13.4,0.0000,0.0930,0.0096
scene2,10.0,14,-8.00,FALSE,24.20,0.023,153.7,1.0840,0.0959,1.0590
scene2,10.0,15,0.43,FALSE,-6.69,0.097,175.3,1.6400,0.0663,1.7398
scene2,10.0,16,-3.14,FALSE,20.55,0.459,26.0,0.0000,0.0000,-0.1028
scene2,10.0,17,9.44,FALSE,10.92,0.380,61.1,0.0002,0.0341,-0.0203
scene2,10.0,18,-10.40,FALSE,24.49,0.085,10.5,0.0000,0.0383,-0.0842
scene2,10.0,19,-9.06,FALSE,-6.39,1.470,174.0,1.6057,0.1119,1.7496
scene2,30.0,0,-1.26,FALSE,-4.67,0.608,35.7,0.0000,0.1286,0.1519
scene2,30.0,1,8.91,FALSE,9.49,0.043,173.2,1.5832,0.1155,1.6513
scene2,30.0,2,-3.93,FALSE,45.29,0.560,109.0,0.2961,0.0447,0.1144
scene2,30.0,3,3.87,FALSE,-7.44,1.097,68.1,0.0082,0.1114,0.1568
scene2,30.0,4,-6.11,FALSE,-0.78,1.054,167.4,1.4239,0.1121,1.5399
scene2,30.0,5,2.35,FALSE,101.51,0.596,160.5,1.2457,0.0782,0.8164
scene2,30.0,6,0.35,FALSE,24.12,0.865,60.6,0.0000,0.0483,-0.0723
scene2,30.0,7,6.39,FALSE,-11.27,0.398,37.6,0.0000,0.1225,0.1789
scene2,30.0,8,-6.81,FALSE,27.83,1.084,0.2,0.0000,0.0975,-0.0416
scene2,30.0,9,-8.32,FALSE,-7.45,0.118,165.1,1.3629,0.0019,1.4020
scene2,30.0,10,4.64,FALSE,30.36,0.568,161.8,1.2801,0.0462,1.1744
scene2,30.0,11,-8.27,FALSE,15.07,0.458,90.4,0.1141,0.1428,0.1816
scene2,30.0,12,6.24,FALSE,30.32,1.260,161.9,1.2830,0.0394,1.1707
scene2,30.0,13,-0.32,FALSE,-4.50,0.281,171.9,1.5457,0.0532,1.6215
scene2,30.0,14,10.06,FALSE,24.38,0.545,58.3,0.0000,0.0796,-0.0423
scene2,30.0,15,-5.47,FALSE,0.43,1.346,179.3,1.7571,0.0402,1.7952
scene2,30.0,16,-10.12,FALSE,11.73,0.504,127.6,0.5647,0.0667,0.5728
scene2,30.0,17,5.58,FALSE,18.71,1.438,25.9,0.0000,0.0520,-0.0415
scene2,30.0,18,-3.47,FALSE,31.27,0.074,164.6,1.3513,0.0495,1.2444
scene2,30.0,19,-0.82,FALSE,15.40,0.822,46.4,0.0000,0.0757,-0.0013
scene2,50.0,0,-7.13,FALSE,4.59,1.130,20.7,0.0000,0.1283,0.1054
scene2,50.0,1,4.43,FALSE,84.86,1.440,8.8,0.0000,0.0559,-0.3684
scene2,50.0,2,-6.49,FALSE,42.81,0.138,175.5,1.6483,0.1338,1.5681
scene2,50.0,3,5.38,FALSE,20.33,1.353,164.4,1.3449,0.1110,1.3542
scene2,50.0,4,-9.70,FALSE,-1.30,1.387,129.3,0.5933,0.1094,0.7092
scene2,50.0,5,-7.13,FALSE,3.01,0.095,135.1,0.6956,0.0797,0.7602
scene2,50.0,6,0.62,FALSE,28.67,0.700,61.0,0.0001,0.1196,-0.0236
scene2,50.0,7,-7.03,FALSE,21.90,1.699,84.5,0.0739,0.1141,0.0785
scene2,50.0,8,7.05,FALSE,-1.20,0.026,116.5,0.3936,0.0515,0.4510
scene2,50.0,9,5.92,FALSE,15.79,0.099,91.9,0.1254,0.1153,0.1618
scene2,50.0,10,2.78,FALSE,44.27,0.699,165.2,1.3654,0.1566,1.3007
scene2,50.0,11,5.08,FALSE,17.89,0.141,33.2,0.0000,0.1552,0.0657
scene2,50.0,12,3.48,FALSE,7.76,0.599,30.6,0.0000,0.0410,0.0022
scene2,50.0,13,1.80,FALSE,-0.25,0.859,51.4,0.0000,0.0951,0.0963
scene2,50.0,14,2.97,FALSE,63.39,1.089,168.6,1.4554,0.0417,1.1801
scene2,50.0,15,-8.63,FALSE,137.96,0.870,154.5,1.1028,0.1589,0.5719
scene2,50.0,16,-1.06,FALSE,21.42,0.599,18.8,0.0000,0.0792,-0.0279
scene2,50.0,17,9.71,FALSE,-2.00,1.190,78.1,0.0402,0.0745,0.1247
scene2,50.0,18,-3.92,FALSE,27.96,0.002,11.7,0.0000,0.0917,-0.0481
scene2,50.0,19,-1.99,FALSE,22.12,0.920,173.2,1.5810,0.1205,1.5908
scene4,10.0,0,3.04,FALSE,29.31,0.656,9.2,0.0000,0.0000,-0.1466
scene4,10.0,1,9.57,FALSE,39.34,0.858,67.6,0.0071,0.0001,-0.1895
scene4,10.0,2,-9.86,FALSE,15.92,1.213,3.5,0.0000,0.0000,-0.0796
scene4,10.0,3,-5.21,FALSE,5.49,0.275,153.1,1.0704,0.1272,1.1702
scene4,10.0,4,4.87,FALSE,21.75,0.225,51.5,0.0000,0.0000,-0.1088
scene4,10.0,5,-0.70,FALSE,24.00,0.626,173.5,1.5892,0.0814,1.5505
scene4,10.0,6,-10.99,FALSE,14.81,1.146,61.7,0.0004,0.0000,-0.0737
scene4,10.0,7,-4.59,FALSE,-5.34,0.773,144.0,0.8714,0.1162,1.0142
scene4,10.0,8,-0.49,FALSE,7.35,0.640,7.0,0.0000,0.1503,0.1135
scene4,10.0,9,-6.25,FALSE,24.65,1.513,160.1,1.2372,0.0438,1.1577
scene4,10.0,10,-5.61,FALSE,-6.92,0.173,163.8,1.3306,0.0000,1.3652
scene4,10.0,11,9.28,FALSE,18.94,1.315,172.2,1.5530,0.0000,1.4583
scene4,10.0,12,7.66,FALSE,19.78,0.165,29.8,0.0000,0.0000,-0.0989
scene4,10.0,13,5.10,FALSE,31.88,1.307,176.1,1.6652,0.0602,1.5660
scene4,10.0,14,-10.59,FALSE,6.02,0.144,1.3,0.0000,0.0000,-0.0301
scene4,10.0,15,-5.33,FALSE,6.73,0.052,6.9,0.0000,0.0000,-0.0337
scene4,10.0,16,-10.27,FALSE,12.83,0.027,8.1,0.0000,0.0000,-0.0641
scene4,10.0,17,-2.89,FALSE,16.32,0.397,71.6,0.0167,0.0282,-0.0367
scene4,10.0,18,-1.72,FALSE,8.25,0.168,7.8,0.0000,0.0000,-0.0413
scene4,10.0,19,-8.32,FALSE,15.25,0.288,150.5,1.0111,0.0271,0.9619
scene4,30.0,0,-8.42,FALSE,23.92,0.099,14.2,0.0000,0.0000,-0.1196
scene4,30.0,1,-1.39,FALSE,9.18,1.050,168.9,1.4634,0.0531,1.4707
scene4,30.0,2,3.37,FALSE,23.44,0.239,14.2,0.0000,0.1243,0.0070
scene4,30.0,3,1.15,FALSE,-4.88,0.838,18.5,0.0000,0.1623,0.1867
scene4,30.0,4,-6.71,FALSE,24.00,0.258,23.1,0.0000,0.0000,-0.1200
scene4,30.0,5,-1.70,FALSE,-4.20,0.785,99.3,0.1903,0.0487,0.2600
scene4,30.0,6,-5.82,FALSE,12.14,0.026,164.8,1.3571,0.0666,1.3631
scene4,30.0,7,8.63,FALSE,11.27,1.555,168.5,1.4545,0.0000,1.3981
scene4,30.0,8,6.17,FALSE,19.65,0.124,25.2,0.0000,0.0859,-0.0123
scene4,30.0,9,-7.90,FALSE,-4.34,0.715,104.6,0.2456,0.0000,0.2673
scene4,30.0,10,-7.91,FALSE,9.43,0.164,177.7,1.7115,0.0000,1.6644
scene4,30.0,11,-9.63,FALSE,9.47,0.100,9.2,0.0000,0.0000,-0.0473
scene4,30.0,12,2.66,FALSE,34.79,0.586,158.1,1.1890,0.0000,1.0151
scene4,30.0,13,11.19,FALSE,84.04,1.595,3.2,0.0000,0.0068,-0.4134
scene4,30.0,14,-4.73,FALSE,22.01,0.139,172.6,1.5652,0.0013,1.4564
scene4,30.0,15,-3.00,FALSE,128.19,0.454,3.0,0.0000,0.0000,-0.6410
scene4,30.0,16,-4.27,FALSE,89.90,0.707,153.0,1.0685,0.0598,0.6787
scene4,30.0,17,5.32,FALSE,12.13,1.392,177.7,1.7093,0.0248,1.6735
scene4,30.0,18,-0.41,FALSE,17.51,0.007,138.1,0.7536,0.0044,0.6704
scene4,30.0,19,1.43,FALSE,13.74,1.078,164.6,1.3510,0.0016,1.2839
scene4,50.0,0,8.51,FALSE,73.10,2.927,2.1,0.0000,0.0373,-0.3282
scene4,50.0,1,-6.12,FALSE,1.75,0.229,161.9,1.2808,0.0000,1.2721
scene4,50.0,2,-5.66,FALSE,27.61,0.110,169.3,1.4735,0.0924,1.4279
scene4,50.0,3,-2.62,FALSE,25.58,0.579,44.9,0.0000,0.0685,-0.0594
scene4,50.0,4,-9.94,FALSE,23.44,1.828,164.0,1.3361,0.1255,1.3444
scene4,50.0,5,8.60,FALSE,14.23,1.806,14.1,0.0000,0.0781,0.0069
scene4,50.0,6,10.20,FALSE,13.35,1.725,6.6,0.0000,0.1360,0.0692
scene4,50.0,7,-4.52,FALSE,13.88,0.187,4.4,0.0000,0.0041,-0.0654
scene4,50.0,8,5.58,FALSE,52.95,0.030,1.0,0.0000,0.0131,-0.2517
scene4,50.0,9,-1.89,FALSE,9.62,0.722,29.8,0.0000,0.1678,0.1197
scene4,50.0,10,-1.60,FALSE,-5.84,0.597,177.7,1.7094,0.0106,1.7492
scene4,50.0,11,-8.04,FALSE,1.23,1.329,130.2,0.6081,0.0170,0.6189
scene4,50.0,12,4.29,FALSE,17.73,0.332,3.0,0.0000,0.0666,-0.0220
scene4,50.0,13,-7.63,FALSE,100.79,2.408,5.7,0.0000,0.0079,-0.4960
scene4,50.0,14,-1.09,FALSE,9.62,0.640,3.4,0.0000,0.1512,0.1031
scene4,50.0,15,3.81,FALSE,37.26,0.228,44.5,0.0000,0.0168,-0.1695
scene4,50.0,16,6.46,FALSE,69.46,1.929,54.8,0.0000,0.0000,-0.3473
scene4,50.0,17,3.94,FALSE,167.83,3.203,169.5,1.4797,0.1508,0.7913
scene4,50.0,18,7.36,FALSE,-1.42,1.526,60.3,0.0000,0.1282,0.1353
scene4,50.0,19,5.89,FALSE,43.88,0.721,170.5,1.5069,0.1436,1.4310
scene_wheel,10.0,0,3.77,FALSE,2.35,0.811,0.9,0.0000,0.1931,0.1813
scene_wheel,10.0,1,0.97,FALSE,3.31,0.478,5.1,0.0000,0.0000,-0.0165
scene_wheel,10.0,2,0.42,FALSE,7.57,0.038,0.4,0.0000,0.1946,0.1567
scene_wheel,10.0,3,-5.47,FALSE,-2.17,0.031,151.5,1.0341,0.0000,1.0450
scene_wheel,10.0,4,8.76,FALSE,4.33,0.202,25.0,0.0000,0.0008,-0.0209
scene_wheel,10.0,5,0.76,FALSE,2.23,0.057,28.2,0.0000,0.0000,-0.0111
scene_wheel,10.0,6,6.15,FALSE,17.75,0.450,129.9,0.6026,0.0052,0.5190
scene_wheel,10.0,7,-6.46,FALSE,-3.81,0.011,11.4,0.0000,0.0000,0.0190
scene_wheel,10.0,8,-2.22,FALSE,10.44,1.313,136.4,0.7208,0.0011,0.6697
scene_wheel,10.0,9,6.54,FALSE,5.32,0.338,72.7,0.0199,0.1890,0.1823
scene_wheel,10.0,10,4.88,FALSE,-0.30,0.585,7.4,0.0000,0.1927,0.1942
scene_wheel,10.0,11,3.29,FALSE,1.43,0.213,26.5,0.0000,0.0000,-0.0072
scene_wheel,10.0,12,-8.77,FALSE,-0.63,1.824,6.2,0.0000,0.0770,0.0801
scene_wheel,10.0,13,-8.01,FALSE,-2.98,0.064,4.4,0.0000,0.0000,0.0149
scene_wheel,10.0,14,9.28,FALSE,12.59,1.541,3.7,0.0000,0.0014,-0.0615
scene_wheel,10.0,15,10.71,FALSE,1.75,0.150,3.9,0.0000,0.0000,-0.0087
scene_wheel,10.0,16,5.93,FALSE,-1.02,0.360,132.5,0.6493,0.0030,0.6574
scene_wheel,10.0,17,3.42,FALSE,0.23,0.304,10.2,0.0000,0.1891,0.1880
scene_wheel,10.0,18,-0.97,FALSE,0.45,0.038,56.3,0.0000,0.1916,0.1893
scene_wheel,10.0,19,-0.06,FALSE,2.17,0.017,1.7,0.0000,0.0000,-0.0108
scene_wheel,30.0,0,4.71,FALSE,8.47,0.703,7.5,0.0000,0.0000,-0.0423
scene_wheel,30.0,1,9.89,FALSE,0.86,0.081,0.8,0.0000,0.0000,-0.0043
scene_wheel,30.0,2,3.03,FALSE,0.65,0.494,20.5,0.0000,0.1916,0.1884
scene_wheel,30.0,3,-4.63,FALSE,2.14,0.188,1.2,0.0000,0.0000,-0.0107
scene_wheel,30.0,4,7.35,FALSE,0.59,0.103,25.0,0.0000,0.0000,-0.0029
scene_wheel,30.0,5,9.75,FALSE,1.82,0.524,160.9,1.2580,0.0035,1.2524
scene_wheel,30.0,6,-1.18,FALSE,-3.60,0.463,0.4,0.0000,0.0000,0.0180
scene_wheel,30.0,7,-1.75,FALSE,6.28,0.686,17.6,0.0000,0.0000,-0.0314
scene_wheel,30.0,8,-9.94,FALSE,8.10,0.073,0.2,0.0000,0.0000,-0.0405
scene_wheel,30.0,9,-8.20,FALSE,6.83,0.230,4.2,0.0000,0.0000,-0.0342
scene_wheel,30.0,10,-2.18,FALSE,7.87,0.513,54.2,0.0000,0.0000,-0.0394
scene_wheel,30.0,11,-8.77,FALSE,4.00,0.627,5.2,0.0000,0.1936,0.1736
scene_wheel,30.0,12,8.82,FALSE,2.14,1.187,19.0,0.0000,0.0000,-0.0107
scene_wheel,30.0,13,4.75,FALSE,8.09,0.034,4.5,0.0000,0.1931,0.1527
scene_wheel,30.0,14,-9.34,FALSE,2.27,0.739,4.1,0.0000,0.0000,-0.0113
scene_wheel,30.0,15,8.90,FALSE,1.54,0.510,18.8,0.0000,0.0000,-0.0077
scene_wheel,30.0,16,0.95,FALSE,2.92,0.378,2.3,0.0000,0.0000,-0.0146
scene_wheel,30.0,17,-2.12,FALSE,4.95,0.632,8.8,0.0000,0.0000,-0.0248
scene_wheel,30.0,18,10.21,FALSE,-0.76,0.455,13.8,0.0000,0.0000,0.0038
scene_wheel,30.0,19,1.01,FALSE,12.53,0.694,13.4,0.0000,0.0000,-0.0627
scene_wheel,50.0,0,-3.24,FALSE,13.58,0.741,2.2,0.0000,0.0000,-0.0679
scene_wheel,50.0,1,3.51,FALSE,9.04,0.595,6.3,0.0000,0.1924,0.1472
scene_wheel,50.0,2,-8.37,FALSE,3.74,1.267,29.6,0.0000,0.0000,-0.0187
scene_wheel,50.0,3,-4.33,FALSE,9.93,0.933,2.2,0.0000,0.0000,-0.0496
scene_wheel,50.0,4,-4.81,FALSE,8.44,0.477,5.4,0.0000,0.0301,-0.0121
scene_wheel,50.0,5,-4.33,FALSE,3.56,0.593,1.9,0.0000,0.0000,-0.0178
scene_wheel,50.0,6,-3.54,FALSE,3.28,0.376,16.4,0.0000,0.0000,-0.0164
scene_wheel,50.0,7,-2.25,FALSE,0.89,0.225,58.1,0.0000,0.0000,-0.0045
scene_wheel,50.0,8,2.09,FALSE,10.67,0.081,12.1,0.0000,0.0000,-0.0533
scene_wheel,50.0,9,-5.55,FALSE,7.97,0.290,151.6,1.0366,0.0947,1.0914
scene_wheel,50.0,10,11.16,FALSE,3.67,0.262,33.6,0.0000,0.1778,0.1594
scene_wheel,50.0,11,-3.09,FALSE,7.79,0.054,3.4,0.0000,0.0000,-0.0390
scene_wheel,50.0,12,-10.48,FALSE,7.72,0.293,21.6,0.0000,0.0000,-0.0386
scene_wheel,50.0,13,-11.09,FALSE,10.17,1.261,56.6,0.0000,0.1922,0.1413
scene_wheel,50.0,14,-6.07,FALSE,229.31,7.308,87.0,0.0898,0.0051,-1.0516
scene_wheel,50.0,15,4.77,FALSE,7.54,0.955,27.3,0.0000,0.0230,-0.0147
scene_wheel,50.0,16,9.67,FALSE,3.63,0.188,6.1,0.0000,0.0000,-0.0181
scene_wheel,50.0,17,-5.42,FALSE,2.83,1.158,1.3,0.0000,0.1918,0.1776
scene_wheel,50.0,18,8.23,FALSE,3.39,0.092,1.0,0.0000,0.1937,0.1767
scene_wheel,50.0,19,-1.38,FALSE,7.28,0.079,10.9,0.0000,0.0000,-0.0364
